idx,inchi_key,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results,npc_isglycoside,kmedoid_10,kmedoid_20,kmedoid_25,kmedoid_30,kmedoid_35,kmedoid_40,kmedoid_45,kmedoid_50,kmedoid_100
232,WQXKOBYLQWJFPY-UHFFFAOYSA-N,CCc1c(C)c2ccc(OCC(=O)NCC3CCC(CC3)C(=O)O)c(C)c2oc1=O,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_27,KM_68
233,YYXQOCDJYCJZFJ-UHFFFAOYSA-N,CCCc1cc(=O)oc2cc(OCC(=O)NC(Cc3ccc(Cl)cc3)C(=O)O)ccc12,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Phenylalanine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_68
234,RVIRQPJKWQYQAZ-UHFFFAOYSA-N,Cc1c(OCC(=O)NC(Cc2ccc(Cl)cc2)C(=O)O)ccc3c4CCCc4c(=O)oc13,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Phenylalanine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_29
235,BRIRKFJSVSFJIQ-UHFFFAOYSA-N,CC(Oc1ccc2c(cc(=O)oc2c1)c3ccccc3)C(=O)NCC4CCC(CC4)C(=O)O,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_1,KM_9,KM_12,KM_19,KM_18,KM_39,KM_42,KM_32,KM_35
236,OKBWVJGQTFYYQA-UHFFFAOYSA-N,COc1ccc(cc1)C2CC(=O)Oc3cc(O)cc(O)c23,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavans,Neoflavans,Neoflavonoids,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_7,KM_11,KM_20,KM_10,KM_33,KM_37,KM_37,KM_37,KM_41
237,MDHMFQLJCYZIRM-MJBXVCDLSA-N,C[C@H](NC(=O)N1C[C@H]2C[C@@H](C1)c3cccc(=O)n3C2)C(=O)Nc4ccc(F)c(F)c4,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_35,KM_99
238,BUCJKBMIQIMZCO-AEFFLSMTSA-N,CCc1cc(=O)oc2c(C)c(OCC(=O)N3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4)ccc12,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_8,KM_8,KM_11,KM_14,KM_14,KM_10,KM_12,KM_47,KM_47
239,WXTWDABXJFQNRI-UHFFFAOYSA-N,COc1cc2ccc(=O)oc2cc1OCC(O)C(C)(C)O,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_7,KM_11,KM_20,KM_10,KM_33,KM_37,KM_37,KM_37,KM_37
240,VARQQTKKMLANOU-VXGBXAGGSA-N,Clc1ccc(C(=O)NC(=S)N2C[C@H]3C[C@H](C2)c4cccc(=O)n4C3)c(Cl)c1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids,Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_17,KM_14,KM_12,KM_21,KM_2,KM_28,KM_45,KM_69
241,RWSJPESCUJCQNS-PMACEKPBSA-N,CC(C)C[C@H](NC(=O)N1CCn2c1nc3ccccc23)C(=O)N[C@@H](Cc4ccccc4)C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_4,KM_17,KM_14,KM_15,KM_8,KM_5,KM_32,KM_28,KM_65
242,QRZYASGRRPNXNA-OLZOCXBDSA-N,Brc1ccc(NC(=O)N2C[C@H]3C[C@@H](C2)c4cccc(=O)n4C3)cc1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_35,KM_99
243,RBUPUMFZZDPXIV-FQEVSTJZSA-N,Cc1c(C)c2ccc(OCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2oc1=O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",N-acyl-L-alpha-amino_acids,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_4,KM_7,KM_21,KM_29,KM_34,KM_12,KM_41,KM_21,KM_81
244,UYGNVAUODFXWOK-UHFFFAOYSA-N,OC(CNC(=O)COc1ccc2c(cc(=O)oc2c1)c3ccccc3)c4ccccc4,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,Neoflavonoids,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_6,KM_10,KM_6,KM_6,KM_18,KM_27,KM_42,KM_33,KM_3
245,BRIRKFJSVSFJIQ-UTPHLMKXSA-N,CC(Oc1ccc2c(cc(=O)oc2c1)c3ccccc3)C(=O)NC[C@H]4CC[C@@H](CC4)C(=O)O,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_0,KM_19,KM_9,KM_2,KM_24,KM_34,KM_29,KM_48,KM_46
246,QXKHYNVANLEOEG-UHFFFAOYSA-N,COc1c2occc2cc3ccc(=O)oc13,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Furanocoumarins,8-methoxypsoralens,Furocoumarins;_Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_7,KM_11,KM_13,KM_20,KM_25,KM_20,KM_7,KM_20,KM_58
247,QLSQIRLUTZBLDK-QZWQCQKHSA-N,CC(Oc1ccc2c(C)cc(=O)oc2c1C)C(=O)N3CC[C@@]4(O)CCCC[C@H]4C3,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_35,KM_35,KM_45,KM_71
248,XMZFVIHXDZKBHP-SJORKVTESA-N,CCOc1ccc(NC(=O)CCNC(=O)N2C[C@H]3C[C@@H](C2)c4cccc(=O)n4C3)cc1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_45,KM_69
249,MIJKZXWOOXIEEU-UHFFFAOYSA-N,COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(OC)c1C,Organic_compounds,Phenylpropanoids_and_polyketides,Depsides_and_depsidones,,Depsides_and_depsidones,Depsides,Aromatic_polyketides,Polyketides,0,KM_7,KM_11,KM_20,KM_10,KM_19,KM_30,KM_37,KM_37,KM_37
250,UHZXKLAPOXRKTH-ZBFHGGJFSA-N,O=C(COc1ccc2ccc(=O)oc2c1)N3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids;_Simple_coumarins,Lysine_alkaloids;_Nicotinic_acid_alkaloids;_Coumarins,Alkaloids;_Shikimates_and_Phenylpropanoids,0,KM_8,KM_8,KM_11,KM_14,KM_14,KM_10,KM_12,KM_47,KM_47
251,LXKCZOWRFHAYSS-NPMABZOXSA-N,COc1ccc2[nH]c3c(CCN4C(=O)N([C@@H](C)C(=O)NCc5ccco5)C(=O)[C@@]43C)c2c1,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Carboline_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_86
252,QPHKNVHDBDNKLQ-VABKMULXSA-N,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)n2c(=O)[nH]c3ccccc3c2=O)C(=O)N4CCC[C@H]4C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Oligopeptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_1,KM_9,KM_12,KM_24,KM_26,KM_39,KM_44,KM_44,KM_50
253,UNQWRJQUEITUOQ-UHFFFAOYSA-N,COc1ccc2c(c1)c(=O)oc3c(C)c(OC(C)C(=O)NCC4CCC(CC4)C(=O)O)ccc23,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_16,KM_5,KM_26,KM_5,KM_36,KM_36,KM_36,KM_10
254,OZVBODHJCMJBLY-UHFFFAOYSA-N,Cc1c(CC(=O)N2CCC(CC2)C(=O)O)c(=O)oc3cc4OC5(CCCCC5)CCc4cc13,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Pyranocoumarins,Linear_pyranocoumarins,,,,0,KM_5,KM_1,KM_23,KM_13,KM_13,KM_18,KM_14,KM_1,KM_5
255,CSVNPYRZUMFKON-SAABIXHNSA-N,OC(=O)[C@H]1CC[C@H](CNC(=O)COc2ccc3c(cc(=O)oc3c2)c4ccccc4)CC1,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_10,KM_6,KM_6,KM_18,KM_27,KM_42,KM_33,KM_3
256,PGCKDCPTJAQQSQ-UHFFFAOYSA-N,CC(=CCc1cc(ccc1O)c2oc3cc(O)cc(O)c3c(=O)c2O)C,Organic_compounds,Phenylpropanoids_and_polyketides,Flavonoids,Flavones,3'-prenylated_flavones,Flavonols,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_6,KM_10,KM_6,KM_6,KM_6,KM_25,KM_18,KM_6,KM_72
257,BYHVZDRLSCCTND-UHFFFAOYSA-N,COc1cc(CCc2ccc3OCOc3c2)oc(=O)c1,Organic_compounds,Phenylpropanoids_and_polyketides,Kavalactones,,Kavalactones,Kavalactones_and_derivatives,Styrylpyrones,Shikimates_and_Phenylpropanoids,0,KM_0,KM_13,KM_0,KM_23,KM_23,KM_23,KM_23,KM_23,KM_23
258,PSKHULYRLKFARK-MJGOQNOKSA-N,CCCCc1cc(=O)oc2cc(OCC(=O)N3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4)ccc12,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_8,KM_12,KM_22,KM_2,KM_24,KM_34,KM_29,KM_48,KM_25
259,WDBPBHIDKXMEII-UKRRQHHQSA-N,COc1ccc(cc1)C(=O)NC(=S)N2C[C@H]3C[C@H](C2)c4cccc(=O)n4C3,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_17,KM_14,KM_23,KM_21,KM_2,KM_28,KM_22,KM_57
260,AKCNARCKRKZAHX-MJGOQNOKSA-N,CC(C)c1ccc(NC(=O)CCNC(=O)N2C[C@H]3C[C@@H](C2)c4cccc(=O)n4C3)cc1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_45,KM_69
261,GTDLOAQTYBOVIN-ZNUUHSPMSA-N,CCCCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O)c12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_29,KM_9,KM_18,KM_79
262,CJTXEFHQAZFYBT-YSAJCMGZSA-N,CCC(C)[C@H](NC(=O)c1cc2cc(Cl)ccc2n1C)C(=O)N3CCC[C@H]3C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Dipeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_9,KM_17,KM_14,KM_22,KM_32,KM_32,KM_39,KM_24,KM_7
263,ICQSMOIRUNOHQP-VPYPWEPUSA-N,CC(C)[C@H](N1C(=O)N2CCc3c([nH]c4ccccc34)[C@@]2(C)C1=O)C(=O)N[C@@H](Cc5ccccc5)C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Oligopeptides,Carboline_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_38
264,WKVKJOYONAXNFU-SHTZXODSSA-N,Cc1cc(OCC(=O)NC[C@H]2CC[C@@H](CC2)C(=O)O)c3c(C)cc(=O)oc3c1,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_68
265,YOTUXHIWBVZAJQ-GCCMSUICSA-N,CCN1C[C@]2(CO)CC[C@H](OC)[C@]3(C4C[C@H]5[C@H](OC)C4[C@](O)(C[C@H]5OC)[C@@]6(O)C(OC)C32)[C@H]16,Organic_compounds,Lipids_and_lipid-like_molecules,Prenol_lipids,Diterpenoids,Aconitane-type_diterpenoid_alkaloids,Terpenoid_alkaloids,Pseudoalkaloids,Alkaloids;_Terpenoids,0,KM_3,KM_4,KM_17,KM_16,KM_4,KM_0,KM_25,KM_49,KM_92
266,GEOMINBWFXSCOW-OCFMFRIESA-N,COc1c2C(=O)OCc2c(C)c3O[C@@]4(C)CC[C@]5(O)[C@](C)(CCC(=O)OC5(C)C)[C@H]4Cc13,Organic_compounds,Organoheterocyclic_compounds,Benzopyrans,1-benzopyrans,Xanthenes,Tetraketide_meroterpenoids,Meroterpenoids,Polyketides;_Terpenoids,0,KM_7,KM_13,KM_19,KM_17,KM_17,KM_17,KM_20,KM_17,KM_79
267,RNRDSFASSMRPKU-UHFFFAOYSA-N,Cc1nc(nc2ccccc12)C(=O)N,Organic_compounds,Organoheterocyclic_compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Quinazoline_alkaloids,Anthranilic_acid_alkaloids,Alkaloids,0,KM_4,KM_5,KM_7,KM_22,KM_32,KM_32,KM_39,KM_38,KM_91
268,ZCAXKTMXLLDQED-ICSRJNTNSA-N,CC(C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N2CCC(CC2)C(=O)N[C@@H](CCC(=O)N)C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_2,KM_18,KM_23,KM_13,KM_13,KM_18,KM_14,KM_1,KM_53
269,OSNXXZKKAYRWTL-SJORKVTESA-N,Cc1coc2cc3oc(=O)c(CC(=O)N4C[C@H]5C[C@@H](C4)c6cccc(=O)n6C5)c(C)c3cc12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Furanocoumarins,Psoralens,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_9,KM_13,KM_20,KM_25,KM_20,KM_31,KM_42,KM_28
270,QUMQGUKQKPMFHH-UHFFFAOYSA-N,Cc1oc2c(C)c3oc(=O)c(CCC(=O)NCCCN4CCCC4=O)c(C)c3cc2c1C,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Furanocoumarins,Psoralens,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_16,KM_5,KM_26,KM_5,KM_36,KM_36,KM_36,KM_33
271,VTQZLOQHRKROSM-NVXWUHKLSA-N,CCCOc1ccc(cc1)C(=O)NC(=S)N2C[C@H]3C[C@H](C2)c4cccc(=O)n4C3,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_8,KM_12,KM_35,KM_35,KM_45,KM_63
272,NFDIIJYBVFLLLH-SIKLNZKXSA-N,C[C@H](NC(=O)C1(CCN(CC1)C(=O)OC(C)(C)C)c2ccccc2)C(=O)N[C@@H](C(=O)O)c3ccccc3,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_8,KM_17,KM_14,KM_15,KM_21,KM_2,KM_28,KM_22,KM_57
273,LSQXUGCOFZFINB-FQEVSTJZSA-N,OC(=O)[C@H](Cc1ccccc1)NC(=O)COc2ccc3c(c2)oc(=O)c4ccccc43,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Phenylalanine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_16,KM_5,KM_26,KM_5,KM_36,KM_36,KM_36,KM_36
274,QPVOVGVGTKDJHA-ATBAIXNZSA-N,CC(Oc1cc(C)cc2oc(=O)c(C)c(C)c12)C(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_68
275,QHBOBFSAKTUMRH-UIOOFZCWSA-N,CCc1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)C3CCN(CC3)C(=O)[C@@H](N)CC(C)C)cc1,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_2,KM_14,KM_23,KM_13,KM_13,KM_18,KM_14,KM_1,KM_54
276,LODQYOITCVKOKK-UIOOFZCWSA-N,COc1ccccc1CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]4Cc5ccccc5CN4,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_4,KM_17,KM_14,KM_7,KM_7,KM_12,KM_21,KM_21,KM_88
277,FHFGOYBCCNYCBA-MSOLQXFVSA-N,Cc1ccc(C)c(NC(=O)CCNC(=O)N2C[C@H]3C[C@@H](C2)c4cccc(=O)n4C3)c1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_45,KM_69
278,CYHMHJHPJPGOEW-KNFJIDDQSA-N,CCC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)n2c(=O)[nH]c3ccccc3c2=O)C(=O)N4CCC[C@@H]4C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Oligopeptides,Dipeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_1,KM_9,KM_12,KM_24,KM_26,KM_39,KM_44,KM_44,KM_50
279,OAIUGWIDKWVXDU-UHFFFAOYSA-N,COc1ccc(cc1)c2cc(=O)oc3cc(OCC(=O)NCCCn4ccnc4)ccc23,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_9,KM_15,KM_8,KM_9,KM_6,KM_22,KM_15,KM_5,KM_6
280,KIVTXMKWQLVGKL-UHFFFAOYSA-N,COc1ccc2CN(C)CCc3ccccc3-c2c1O.Cl,Organic_compounds,Benzenoids,Phenol_ethers,Anisoles,Anisoles,Amarylidaceae_alkaloids,Tyrosine_alkaloids,Alkaloids,0,KM_0,KM_19,KM_9,KM_0,KM_18,KM_19,KM_42,KM_33,KM_98
281,XOKVHFNTYHPEHN-UHFFFAOYSA-N,COC(=O)c1cc(O)cc(OC)c1Oc2cc(C)cc(O)c2C(=O)O,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,Diphenylethers,Diphenylethers,Fungal_DPEs,Diphenyl_ethers_(DPEs),Polyketides,0,KM_6,KM_18,KM_18,KM_18,KM_6,KM_25,KM_18,KM_6,KM_34
282,CKASNEFFHUIZEG-AEGPPILISA-N,CC1=CC(=O)[C@H]2C(C)(C)CCC[C@]2(C)[C@@]1(O)CO,Organic_compounds,Organic_oxygen_compounds,Organooxygen_compounds,Carbonyl_compounds,Cyclohexenones,Drimane_sesquiterpenoids,Sesquiterpenoids,Terpenoids,0,KM_3,KM_2,KM_2,KM_2,KM_24,KM_34,KM_29,KM_48,KM_42
283,LPEPZZAVFJPLNZ-UHFFFAOYSA-N,CC(=CCc1c(O)cc(O)c2C(=O)CC(Oc12)c3ccc(O)cc3)C,Organic_compounds,Phenylpropanoids_and_polyketides,Flavonoids,Flavans,8-prenylated_flavanones,Flavanones,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_7,KM_10,KM_10,KM_25,KM_15,KM_11,KM_11,KM_11,KM_32
284,JLTRIORYVIOIIR-UHFFFAOYSA-N,O=C1NCCC12C(=O)Nc3ccccc32,Organic_compounds,Organoheterocyclic_compounds,Indoles_and_derivatives,Indolines,Indolines,Simple_oxindole_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_4,KM_5,KM_7,KM_7,KM_32,KM_32,KM_39,KM_38,KM_91
285,WNZLJUQGEOKOJG-DZKIICNBSA-N,CSCC[C@H](N)C(=O)NC[C@H]1CC[C@@H](CC1)C(=O)Nc2ccc3OCOc3c2,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Methionine_and_derivatives,,,,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_27,KM_71
286,HCENGXRZXKAJLN-VOTSOKGWSA-N,O=C(NCCc1c[nH]cn1)/C=C/c2ccccc2,Organic_compounds,Phenylpropanoids_and_polyketides,Cinnamic_acids_and_derivatives,Cinnamic_acid_amides,Cinnamic_acid_amides,Imidazole_alkaloids,Histidine_alkaloids,Alkaloids,0,KM_0,KM_0,KM_15,KM_28,KM_28,KM_28,KM_0,KM_0,KM_0
287,VKTUYBSQXRKYRL-IBGZPJMESA-N,Cc1cc(OCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c4c(C)c(C)c(=O)oc4c1,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",N-acyl-L-alpha-amino_acids,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_8,KM_7,KM_21,KM_29,KM_34,KM_9,KM_41,KM_29,KM_81
288,KSQNKZMAMGACTL-UHFFFAOYSA-N,CN1C(Cc2ccccc2)C(=O)Nc3ccccc3C1=O,Organic_compounds,Organoheterocyclic_compounds,Benzodiazepines,"1,4-benzodiazepines","1,4-benzodiazepines",Benzodiazepine_alkaloids,Anthranilic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_45,KM_69
289,WYJWVEFQGONTIY-UHFFFAOYSA-N,OC(=O)c1cc(O)nc2ccccc12.C1CNCCN1,Organic_compounds,Organoheterocyclic_compounds,Quinolines_and_derivatives,Quinoline_carboxylic_acids,Quinoline_carboxylic_acids,,,Alkaloids,0,KM_4,KM_0,KM_15,KM_28,KM_28,KM_33,KM_5,KM_7,KM_76
290,JHJPDDBIHSFERA-UHFFFAOYSA-N,COc1cc(CCC(O)CC(=O)CCc2ccccc2)ccc1O,Organic_compounds,Phenylpropanoids_and_polyketides,Diarylheptanoids,Linear_diarylheptanoids,Linear_diarylheptanoids,Linear_diarylheptanoids,Diarylheptanoids,Shikimates_and_Phenylpropanoids,0,KM_7,KM_13,KM_20,KM_0,KM_19,KM_30,KM_0,KM_0,KM_94
291,PFFHOOZDXSMZIP-YLAXKVQMSA-N,COc1ccc(OC)c(/C=C/2\Oc3cc(OCC(=O)N4CC(O)C[C@H]4C(=O)O)ccc3C2=O)c1,Organic_compounds,Phenylpropanoids_and_polyketides,Aurone_flavonoids,,Aurone_flavonoids,,,,0,KM_9,KM_4,KM_8,KM_9,KM_6,KM_27,KM_15,KM_5,KM_72
292,YXDXKAPCDRCRNK-ATBAIXNZSA-N,CCCCc1cc(=O)oc2cc(OC(C)C(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O)ccc12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_29,KM_9,KM_18,KM_79
